name;company;technology;job;location;salary
Data Scientist with some C# Experience;able.tech;['Data', 'SQL', 'Data science', 'DWH'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 20000, 'high': 30000, 'currency': 'PLN'}
Big Data Architect;Addepto;['Data', 'Python', 'Hadoop', 'Spark'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': 25000, 'high': 37800, 'currency': 'PLN'}
Data Engineer;Team Connect Sp. z o.o.;['Data', 'Databricks', 'Azure', 'Teradata'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 30240, 'high': 33600, 'currency': 'PLN'}
Data Platform Architect;Elitmind;['Data', 'Databricks', 'Azure', 'Data Factory'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': 26880, 'high': 33936, 'currency': 'PLN'}
Data Engineer with Python;AXA IT Solutions;['Data', 'Python', 'Spark', 'Databricks'];data engineer;{'city': 'Warszawa', 'country': 'N/A'};{'low': 15960, 'high': 25200, 'currency': 'PLN'}
Salesforce Consultant;InfiniteDATA;['Data', 'SQL', 'Snowflake', 'Salesforce'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': 28560, 'high': 35280, 'currency': 'PLN'}
Senior Analityk Danych / Analityczka Danych;Alterdata.io sp. z o.o.;['Data', 'SQL', 'Python', 'AWS'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': 15000, 'high': 21000, 'currency': 'PLN'}
Młodszy/a Specjalista/stka ds. Aktuarialnych;UNIQA Polska;['Data', 'Python', 'SQL', 'English'];data analyst;{'city': 'Warszawa', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
Starszy/a Specjalista/stka ds. Aktuarialnych;UNIQA Polska;['Data', 'Python', 'SQL', 'English'];data analyst;{'city': 'Warszawa', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
Data Engineer;Unit8 SA;['Data', 'SQL', 'Data engineering', 'Team player'];data engineer;{'city': 'Kraków', 'country': 'N/A'};{'low': 20000, 'high': 26000, 'currency': 'PLN'}
Software Engineer (Java, Big Data Team) - Data&AI;Allegro;['Data', 'Java', 'Clean Code', 'TDD'];data engineer;{'city': 'Warszawa', 'country': 'N/A'};{'low': 12300, 'high': 17600, 'currency': 'PLN'}
Data Scientist;Sii Polska;['Data', 'Python', 'PySpark', 'pytest'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 24000, 'high': 30000, 'currency': 'PLN'}
Analityk Danych / Analityczka Danych;Alterdata.io sp. z o.o.;['Data', 'SQL', 'Python', 'AWS'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': 7000, 'high': 11000, 'currency': 'PLN'}
Data Ops Engineer;Roche;['Data', 'Python', 'AWS Cloud', 'AWS Lambda'];data engineer;{'city': 'Warszawa', 'country': 'N/A'};{'low': 12500, 'high': 18000, 'currency': 'PLN'}
IT Systems Integration Specialist (SQL);Power Media;['Data', 'SQL', 'PL/SQL', 'T-SQL'];data analyst;{'city': 'Kraków', 'country': 'N/A'};{'low': 12000, 'high': 16000, 'currency': 'PLN'}
Data Engineer III - Forecasting;Tesco Technology;['Data', 'Python', 'Hadoop', 'Spark'];data engineer;{'city': 'Kraków', 'country': 'N/A'};{'low': 26000, 'high': 40000, 'currency': 'PLN'}
Data Science Engineer;Connectis_;['Data', 'Python', 'Machine learning', 'AWS'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 16000, 'high': 20000, 'currency': 'PLN'}
Data Engineer (inżynier danych/inżynierka danych);Alterdata.io sp. z o.o.;['Data', 'SQL', 'Python', 'Problem solving'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 7000, 'high': 11000, 'currency': 'PLN'}
Inżynier Danych;Centralny Ośrodek Informatyki;['Data', 'SQL', 'NoSQL', 'DWH'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': 14000, 'high': 28000, 'currency': 'PLN'}
Middle Data Engineer (Support team);N-iX;['Data', 'Python', 'SQL', 'Spark'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 3700, 'high': 4200, 'currency': 'USD'}
AWS Data Engineer;Jacobs;['Data', 'AWS', 'AWS Cloud', 'ETL'];data engineer;{'city': 'Krakow', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
Data Engineer;Harvey Nash Technology;['Data', 'Spark', 'Snowflake', 'MySQL'];data engineer;{'city': 'Warszawa', 'country': 'N/A'};{'low': 22000, 'high': 26000, 'currency': 'PLN'}
Data Engineer;Sii Polska;['Data', 'Hadoop', 'Spark', 'Python'];data engineer;{'city': 'Warszawa', 'country': 'N/A'};{'low': 16800, 'high': 24150, 'currency': 'PLN'}
Administrator Big Data;Centrum Informatyki Statystycznej;['Data', 'Python', 'Data science', 'Linux'];data analyst;{'city': 'Warszawa', 'country': 'N/A'};{'low': 8000, 'high': 14000, 'currency': 'PLN'}
Data Engineer (2-3yrs);Avenga;['Data', 'Java', 'Spark', 'Scala'];data engineer;{'city': 'Gdańsk', 'country': 'N/A'};{'low': 15120, 'high': 21000, 'currency': 'PLN'}
Senior Data Scientist (BioPharma);Sigma IT Poland;['Data', 'Python', 'Machine learning', 'NLP'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 18480, 'high': 22680, 'currency': 'PLN'}
Senior Data Scientist;Ardigen;['Data', 'Python', 'Data science', 'Deep learning'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 16000, 'high': 23000, 'currency': 'PLN'}
